Player,No.,Birth,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary,Player-additional,Team
Brad May,10,ca CA,LW,25.0,1-Jun,213.0,L/-,5,November 29 1971,3 G 4 A 7 P,maybr01,Buffalo Sabres
Jay McKee,74,ca CA,D,19.0,4-Jun,203.0,L/-,1,September 8 1977,1 G 9 A 10 P,mckeeja01,Buffalo Sabres
Barrie Moore,38,ca CA,LW,21.0,11-May,198.0,L/-,1,May 22 1975,2 G 6 A 8 P,mooreba01,Buffalo Sabres
Rumun Ndur,40,ng NG,D,21.0,2-Jun,222.0,L/-,R,July 7 1975,0 G 0 A 0 P,ndurru01,Buffalo Sabres
Michael Peca,27,ca CA,C,22.0,11-May,181.0,R/-,3,March 26 1974,20 G 29 A 49 P,pecami01,Buffalo Sabres
Derek Plante,26,us US,C,26.0,11-May,181.0,L/-,3,January 17 1971,27 G 26 A 53 P,plantde01,Buffalo Sabres
Wayne Primeau,76,ca CA,C,20.0,4-Jun,225.0,L/-,2,June 4 1976,2 G 4 A 6 P,primewa01,Buffalo Sabres
Rob Ray,32,ca CA,LW,28.0,Jun-00,217.0,L/-,7,June 8 1968,7 G 3 A 10 P,rayro01,Buffalo Sabres
Ed Ronan,5,us US,RW,28.0,Jun-00,197.0,R/-,5,March 21 1968,1 G 4 A 5 P,ronaned01,Buffalo Sabres
Miroslav Šatan,81,cs CS,LW,22.0,3-Jun,191.0,L/-,1,October 22 1974,8 G 2 A 10 P,satanmi01,Buffalo Sabres
Anatoli Semenov,93,su SU,C,34.0,2-Jun,190.0,L/-,6,March 5 1962,2 G 4 A 6 P,semenan01,Buffalo Sabres
Darryl Shannon,8,ca CA,D,28.0,2-Jun,208.0,L/-,8,June 21 1968,4 G 19 A 23 P,shannda01,Buffalo Sabres
Steve Shields,31,ca CA,G,24.0,3-Jun,215.0,-/L,1,July 19 1972,3-8-2 2.96 GAA,shielst01,Buffalo Sabres
Richard Šmehlík,42,cs CS,D,27.0,4-Jun,222.0,L/-,3,January 23 1970,11 G 19 A 30 P,smehlri01,Buffalo Sabres
Andrei Trefilov,30,su SU,G,27.0,Jun-00,190.0,-/L,4,August 31 1969,0-2-0 3.78 GAA,trefian01,Buffalo Sabres
Václav Vara?a,25,cs CS,LW,20.0,Jun-00,208.0,L/-,1,April 26 1976,0 G 0 A 0 P,varadva01,Buffalo Sabres
Dixon Ward,15,ca CA,RW,28.0,Jun-00,200.0,R/-,4,September 23 1968,13 G 32 A 45 P,warddi01,Buffalo Sabres
Mike Wilson,4,ca CA,D,21.0,6-Jun,229.0,L/-,1,February 26 1975,2 G 9 A 11 P,wilsomi02,Buffalo Sabres
Alexei Zhitnik,44,su SU,D,24.0,11-May,225.0,L/-,4,October 10 1972,7 G 28 A 35 P,zhitnal01,Buffalo Sabres
Wade Belak,6.0,ca CA,D,20.0,6-5,222.0,R/-,R,July 3 1976,0 G 0 A 0 P,belakwa01,Colorado Avalanche
Craig Billington,1.0,ca CA,G,30.0,5-10,170.0,-/L,8,September 11 1966,11-8-2 2.65 GAA,billicr01,Colorado Avalanche
Rich Brennan,32.0,us US,D,24.0,6-2,200.0,R/-,R,November 26 1972,0 G 0 A 0 P,brennri01,Colorado Avalanche
René Corbet,20.0,ca CA,LW,23.0,6-0,195.0,L/-,3,June 25 1973,12 G 15 A 27 P,corbere01,Colorado Avalanche
Adam Deadmarsh,18.0,ca CA,RW,21.0,6-0,205.0,R/-,2,May 10 1975,33 G 27 A 60 P,deadmad01,Colorado Avalanche
Marc Denis,30.0,ca CA,G,19.0,6-1,193.0,-/L,R,August 1 1977,0-1-0 3.02 GAA,denisma01,Colorado Avalanche
Adam Foote,52.0,ca CA,D,25.0,6-2,220.0,R/-,5,July 10 1971,2 G 19 A 21 P,footead01,Colorado Avalanche
Peter Forsberg,21.0,se SE,C,23.0,6-0,205.0,L/-,2,July 20 1973,28 G 58 A 86 P,forsbpe01,Colorado Avalanche
Alexei Gusarov,5.0,su SU,D,32.0,6-3,185.0,L/-,6,July 8 1964,2 G 12 A 14 P,gusaral01,Colorado Avalanche
Keith Jones,11.0,ca CA,RW,28.0,6-2,200.0,L/-,4,November 8 1968,23 G 20 A 43 P,joneske01,Colorado Avalanche
Valeri Kamensky,13.0,su SU,LW,30.0,6-2,198.0,R/-,5,April 18 1966,28 G 38 A 66 P,kamenva01,Colorado Avalanche
Mike Keane,25.0,ca CA,RW,29.0,5-10,185.0,R/-,8,May 29 1967,10 G 17 A 27 P,keanemi01,Colorado Avalanche
Jon Klemm,24.0,ca CA,D,27.0,6-2,205.0,R/-,4,January 8 1970,9 G 15 A 24 P,klemmjo01,Colorado Avalanche
Uwe Krupp,4.0,de DE,D,31.0,6-6,235.0,R/-,10,June 24 1965,4 G 17 A 21 P,kruppuw01,Colorado Avalanche
Eric Lacroix,28.0,ca CA,LW,25.0,6-1,210.0,L/-,3,July 15 1971,18 G 18 A 36 P,lacroer01,Colorado Avalanche
Sylvain Lefebvre,2.0,ca CA,D,29.0,6-2,205.0,L/-,7,October 14 1967,2 G 11 A 13 P,lefebsy01,Colorado Avalanche
Claude Lemieux,22.0,ca CA,RW,31.0,6-1,215.0,R/-,13,July 16 1965,11 G 17 A 28 P,lemiecl01,Colorado Avalanche
Curtis Leschyshyn,7.0,ca CA,D,27.0,6-1,207.0,L/-,8,September 21 1969,0 G 5 A 5 P,leschcu01,Colorado Avalanche
Josef Marha,10.0,cs CS,C,20.0,6-0,176.0,L/-,1,June 2 1976,0 G 1 A 1 P,marhajo01,Colorado Avalanche
Christian Matte,27.0,ca CA,RW,22.0,6-0,190.0,R/-,R,January 20 1975,1 G 1 A 2 P,mattech01,Colorado Avalanche
Éric Messier,29.0,ca CA,D,23.0,6-2,195.0,L/-,R,October 29 1973,0 G 0 A 0 P,messier01,Colorado Avalanche
Aaron Miller,3.0,us US,D,25.0,6-3,210.0,R/-,3,August 11 1971,5 G 12 A 17 P,milleaa01,Colorado Avalanche
Sandis Ozoli?š,8.0,su SU,D,24.0,6-3,215.0,L/-,4,August 3 1972,23 G 45 A 68 P,ozolisa01,Colorado Avalanche
Mike Ricci,9.0,ca CA,C,25.0,6-0,200.0,L/-,6,October 27 1971,13 G 19 A 32 P,riccimi01,Colorado Avalanche
Patrick Roy,33.0,ca CA,G,31.0,6-2,185.0,-/L,12,October 5 1965,38-15-7 2.32 GAA,roypa01,Colorado Avalanche
Joe Sakic (C),19.0,ca CA,C,27.0,5-11,195.0,L/-,8,July 7 1969,22 G 52 A 74 P,sakicjo01,Colorado Avalanche
Yves Sarault,15.0,ca CA,LW,24.0,6-1,190.0,L/-,2,December 23 1972,2 G 1 A 3 P,sarauyv01,Colorado Avalanche
Brent Severyn,23.0,ca CA,LW,30.0,6-2,211.0,L/-,4,February 22 1966,1 G 4 A 5 P,severbr01,Colorado Avalanche
Landon Wilson,17.0,us US,RW,21.0,6-3,224.0,R/-,1,March 13 1975,1 G 2 A 3 P,wilsola02,Colorado Avalanche
Stéphane Yelle,26.0,ca CA,C,22.0,6-2,182.0,L/-,1,May 9 1974,9 G 17 A 26 P,yellest01,Colorado Avalanche
Scott Young,48.0,us US,RW,29.0,6-1,200.0,R/-,8,October 1 1967,18 G 19 A 37 P,youngsc01,Colorado Avalanche
Greg Adams,23.0,ca CA,LW,33.0,6-3,195.0,L/-,12,August 15 1963,21 G 15 A 36 P,adamsgr02,Dallas Stars
Bob Bassen,28.0,ca CA,C,31.0,5-10,185.0,L/-,11,May 6 1965,5 G 7 A 12 P,bassebo01,Dallas Stars
Neal Broten,7.0,us US,C,37.0,5-9,175.0,L/-,16,November 29 1959,8 G 7 A 15 P,brotene01,Dallas Stars
Guy Carbonneau,21.0,ca CA,C,36.0,5-11,186.0,R/-,15,March 18 1960,5 G 16 A 21 P,carbogu01,Dallas Stars
Patrick Côté,44.0,ca CA,LW,22.0,6-3,220.0,L/-,1,January 24 1975,0 G 0 A 0 P,cotepa01,Dallas Stars
Brent Gilchrist,41.0,ca CA,LW,29.0,5-11,180.0,L/-,8,April 3 1967,10 G 20 A 30 P,gilchbr01,Dallas Stars
Todd Harvey,10.0,ca CA,RW,21.0,6-0,210.0,R/-,2,February 17 1975,9 G 22 A 31 P,harveto01,Dallas Stars
Derian Hatcher (C),2.0,us US,D,24.0,6-5,235.0,L/-,5,June 4 1972,3 G 19 A 22 P,hatchde01,Dallas Stars
Benoît Hogue,33.0,ca CA,LW,30.0,5-10,194.0,L/-,9,October 28 1966,19 G 24 A 43 P,hoguebe01,Dallas Stars
Bill Huard,17.0,ca CA,LW,29.0,6-1,215.0,L/-,4,June 24 1967,5 G 6 A 11 P,huardbi01,Dallas Stars
Art?rs Irbe,32.0,su SU,G,29.0,5-8,190.0,-/L,5,February 2 1967,17-12-3 2.69 GAA,irbear01,Dallas Stars
Dan Keczmer,22.0,us US,D,28.0,6-1,190.0,L/-,6,May 25 1968,0 G 1 A 1 P,keczmda01,Dallas Stars
Mike Kennedy,39.0,ca CA,RW,24.0,6-1,195.0,R/-,2,April 13 1972,1 G 6 A 7 P,kennemi01,Dallas Stars
Marc Labelle,27.0,ca CA,LW,27.0,6-1,215.0,L/-,R,December 20 1969,0 G 0 A 0 P,labelma01,Dallas Stars
Mike Lalor,18.0,us US,D,33.0,6-0,200.0,L/-,11,March 8 1963,1 G 1 A 2 P,lalormi01,Dallas Stars
Jamie Langenbrunner,15.0,us US,C,21.0,6-1,205.0,R/-,2,July 24 1975,13 G 26 A 39 P,langeja01,Dallas Stars
Grant Ledyard,12.0,ca CA,D,35.0,6-2,195.0,L/-,12,November 19 1961,1 G 15 A 16 P,ledyagr01,Dallas Stars
Jere Lehtinen,26.0,fi FI,RW,23.0,6-0,194.0,R/-,1,June 24 1973,16 G 27 A 43 P,lehtije01,Dallas Stars
Craig Ludwig,3.0,us US,D,35.0,6-3,220.0,L/-,14,March 15 1961,2 G 11 A 13 P,ludwicr01,Dallas Stars
Sergei Makarov,42.0,su SU,RW,38.0,5-11,185.0,L/-,6,June 19 1958,0 G 0 A 0 P,makarse01,Dallas Stars
Grant Marshall,29.0,ca CA,RW,23.0,6-1,200.0,R/-,2,June 9 1973,6 G 4 A 10 P,marshgr01,Dallas Stars
Richard Matvichuk,24.0,ca CA,D,23.0,6-3,215.0,L/-,4,February 5 1973,5 G 7 A 12 P,matviri01,Dallas Stars
Mike Modano,9.0,us US,C,26.0,6-3,212.0,L/-,7,June 7 1970,35 G 48 A 83 P,modanmi01,Dallas Stars
Andy Moog,35.0,ca CA,G,36.0,5-8,175.0,-/L,16,February 18 1960,28-13-5 2.15 GAA,moogan01,Dallas Stars
Joe Nieuwendyk,25.0,ca CA,C,30.0,6-2,205.0,L/-,10,September 10 1966,30 G 21 A 51 P,nieuwjo01,Dallas Stars
Dave Reid,14.0,ca CA,LW,32.0,6-1,217.0,L/-,13,May 15 1964,19 G 20 A 39 P,reidda02,Dallas Stars
Darryl Sydor,5.0,ca CA,D,24.0,6-1,211.0,L/-,5,May 13 1972,8 G 40 A 48 P,sydorda01,Dallas Stars
Roman Turek,1.0,cs CS,G,26.0,6-3,220.0,-/R,R,May 21 1970,3-1-0 2.06 GAA,turekro01,Dallas Stars
Pat Verbeek,16.0,ca CA,RW,32.0,5-9,192.0,R/-,14,May 24 1964,17 G 36 A 53 P,verbepa01,Dallas Stars
Sergei Zubov,56.0,su SU,D,26.0,6-1,198.0,R/-,4,July 22 1970,13 G 30 A 43 P,zubovse01,Dallas Stars
